"시도교육청","지역교육청","지역","정보공시 학교코드","학교명","학교급코드","설립구분","제외여부","제외사유","교장(남)","교장(여)","교장(휴직교원)","교장(계)","교감(남)","교감(여)","교감(휴직교원)","교감(계)","수석교사(남)","수석교사(여)","수석교사(휴직교원)","수석교사(계)","보직교사(남)","보직교사(여)","보직교사(휴직교원)","보직교사(계)","일반교사(남)","일반교사(여)","일반교사(휴직교원)","일반교사(계)","특수교사(남)","특수교사(여)","특수교사(휴직교원)","특수교사(계)","전문상담교사(남)","전문상담교사(여)","전문상담교사(휴직교원)","전문상담교사(계)","사서교사(남)","사서교사(여)","사서교사(휴직교원)","사서교사(계)","실기교사(남)","실기교사(여)","실기교사(휴직교원)","실기교사(계)","보건교사(남)","보건교사(여)","보건교사(휴직교원)","보건교사(계)","영양교사(남)","영양교사(여)","영양교사(휴직교원)","영양교사(계)","기간제교사(남)","기간제교사(여)","기간제교사(휴직교원)","기간제교사(계)","강사(남)","강사(여)","강사(휴직교원)","강사(계)","총계(남)","총계(여)","총계(휴직교원)","총계(계)","원어민강사(남)","원어민강사(여)","원어민강사(계)","휴직교원수"
"전라북도교육청","전라북도진안교육지원청","전라북도 진안군","S130001728","안천초등학교","02","공립","N","","0","0","0","0","0","1","0","1","0","0","0","0","1","1","0","2","5","2","1","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","6","5","1","11","0","0","0","1"
"전라북도교육청","전라북도진안교육지원청","전라북도 진안군","S130001730","오천초등학교","02","공립","N","","1","0","0","1","0","1","0","1","0","0","0","0","0","2","0","2","2","4","1","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","7","1","10","0","0","0","1"
"전라북도교육청","전라북도진안교육지원청","전라북도 진안군","S130001731","외궁초등학교","02","공립","N","","0","1","0","1","0","1","0","1","0","0","0","0","2","0","0","2","3","5","1","8","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","5","9","1","14","0","0","0","1"
"전라북도교육청","전라북도진안교육지원청","전라북도 진안군","S130001733","장승초등학교","02","공립","N","","1","0","0","1","1","0","0","1","0","0","0","0","1","1","0","2","2","4","1","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","1","0","1","0","0","0","0","0","0","0","0","5","7","1","12","0","0","0","1"
"전라북도교육청","전라북도진안교육지원청","전라북도 진안군","S130001734","조림초등학교","02","공립","N","","0","1","0","1","1","0","0","1","0","0","0","0","1","1","0","2","3","2","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","5","5","0","10","0","0","0","0"
"전라북도교육청","전라북도진안교육지원청","전라북도 진안군","S130001737","주천초등학교","02","공립","N","","0","1","0","1","1","0","0","1","0","0","0","0","1","1","0","2","2","3","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","1","0","1","0","0","0","0","4","7","0","11","0","0","0","0"
"전라북도교육청","전라북도진안교육지원청","전라북도 진안군","S130001741","진안중앙초등학교","02","공립","N","","0","1","0","1","0","1","0","1","0","0","0","0","1","1","0","2","2","9","2","11","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","1","0","1","0","0","0","0","0","0","0","0","3","15","2","18","0","0","0","2"
"전라북도교육청","전라북도진안교육지원청","전라북도 진안군","S130001742","진안초등학교","02","공립","N","","0","1","0","1","1","0","0","1","0","0","0","0","1","3","0","4","8","6","2","14","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","1","0","1","0","0","0","0","0","1","0","1","10","14","2","24","0","0","0","2"
"전라북도교육청","전라북도익산교육지원청","전라북도 익산시","S130002454","익산궁동초등학교","02","공립","N","","1","0","0","1","1","0","0","1","0","0","0","0","3","5","0","8","1","22","2","23","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","1","0","1","0","0","0","0","0","1","0","1","6","30","2","36","0","0","0","2"
"전라북도교육청","전라북도정읍교육지원청","전라북도 정읍시","S130002462","정읍초등학교","02","공립","N","","1","0","0","1","0","1","0","1","0","0","0","0","2","2","0","4","2","11","0","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","1","0","1","0","0","0","0","0","0","0","0","5","16","0","21","0","0","0","0"
"전라북도교육청","전라북도전주교육지원청","전라북도 전주시 완산구","S130002463","전주여울초등학교","02","공립","N","","1","0","0","1","0","1","0","1","0","0","0","0","2","8","0","10","2","26","3","28","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","5","37","3","42","0","0","0","3"
"전라북도교육청","전라북도전주교육지원청","전라북도 전주시 덕진구","S130002468","전주용소초등학교","02","공립","N","","1","0","0","1","0","1","0","1","0","0","0","0","1","7","0","8","5","18","2","23","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","1","0","1","1","1","0","2","0","1","0","1","8","31","3","39","0","0","0","3"
"전라북도교육청","전라북도전주교육지원청","전라북도 전주시 완산구","S130002478","전주대정초등학교","02","공립","N","","1","0","0","1","0","1","0","1","0","0","0","0","2","6","0","8","5","24","2","29","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","8","32","2","40","0","0","0","2"
"전라북도교육청","전라북도전주교육지원청","전라북도 전주시 완산구","S130002479","전주용와초등학교","02","공립","N","","0","1","0","1","0","1","0","1","0","0","0","0","1","7","0","8","6","28","8","34","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","2","0","2","0","0","0","0","7","41","8","48","0","0","0","8"
"전라북도교육청","전라북도군산교육지원청","전라북도 군산시","S130002498","군산미성초등학교","02","공립","N","","1","0","0","1","1","0","0","1","0","0","0","0","1","1","0","2","4","7","2","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","1","0","1","0","0","0","0","0","0","0","0","7","10","2","17","0","0","0","2"
