"시도교육청","지역교육청","지역","정보공시 학교코드","학교명","학교급코드","설립구분","제외여부","제외사유","유초등부-유 학급수","유초등부-유 학생수","유초등부-유 학급당 학생수","유초등부-유-순회 학급수","유초등부-유-순회 학생수","유초등부-유-순회 학급당 학생수","유초등부-1학년 학급수","유초등부-1학년 학생수","유초등부-1학년 학급당 학생수","유초등부-2학년 학급수","유초등부-2학년 학생수","유초등부-2학년 학급당 학생수","유초등부-3학년 학급수","유초등부-3학년 학생수","유초등부-3학년 학급당 학생수","유초등부-4학년 학급수","유초등부-4학년 학생수","유초등부-4학년 학급당 학생수","유초등부-5학년 학급수","유초등부-5학년 학생수","유초등부-5학년 학급당 학생수","유초등부-6학년 학급수","유초등부-6학년 학생수","유초등부-6학년 학급당 학생수","유초등부-초-순회 학급수","유초등부-초-순회 학생수","유초등부-초-순회 학급당 학생수","유초등부 학급수(계)","유초등부 학생수(계)","유초등부 학급당 학생수(계)","중등부-1학년 학급수","중등부-1학년 학생수","중등부-1학년 학급당 학생수","중등부-2학년 학급수","중등부-2학년 학생수","중등부-2학년 학급당 학생수","중등부-3학년 학급수","중등부-3학년 학생수","중등부-3학년 학급당 학생수","중등부-순회 학급수","중등부-순회 학생수","중등부-순회 학급당 학생수","중등부 학급수(계)","중등부 학생수(계)","중등부 학급당 학생수(계)","고등부-1학년 학급수","고등부-1학년 학생수","고등부-1학년 학급당 학생수","고등부-2학년 학급수","고등부-2학년 학생수","고등부-2학년 학급당 학생수","고등부-3학년 학급수","고등부-3학년 학생수","고등부-3학년 학급당 학생수","고등부-순회 학급수","고등부-순회 학생수","고등부-순회 학급당 학생수","고등부 학급수(계)","고등부 학생수(계)","고등부 학급당 학생수(계)","전공과 학급수","전공과 학생수","전공과 학급당 학생수","총계 학급수","총계 학생수","총계 학급당 학생수","교사수","수업교원 1인당 학생수"
"충청남도교육청","충청남도교육청","충청남도 공주시","S120001249","공주정명학교","05","공립","N","","0","0","0","0","0","0","1","2","2","1","4","4","1","3","3","1","2","2","1","1","1","1","2","2","0","0","0","6","14","2.3","1","4","4","1","5","5","1","5","5","2","0","0","5","14","2.8","1","6","6","1","7","7","1","7","7","1","1","1","4","21","5.3","6","44","7.3","21","93","4.4","37","1.3"
"충청남도교육청","충청남도교육청","충청남도 천안시 서북구","S120001250","천안인애학교","05","공립","N","","0","0","0","0","0","0","2","12","6","2","10","5","2","12","6","3","15","5","1","5","5","1","2","2","1","0","0","12","56","4.7","4","20","5","3","17","5.7","5","29","5.8","0","0","0","12","66","5.5","5","30","6","3","22","7.3","4","23","5.8","1","0","0","13","75","5.8","8","67","8.4","45","264","5.9","77","2.6"
"충청남도교육청","충청남도교육청","충청남도 보령시","S120001251","보령정심학교","05","사립","N","","0","0","0","0","0","0","1","1","1","1","3","3","1","1","1","1","2","2","1","1","1","1","4","4","0","0","0","6","12","2","1","5","5","1","5","5","1","5","5","0","0","0","3","15","5","1","2","2","2","8","4","2","11","5.5","1","3","3","6","24","4","4","36","9","19","87","4.6","29","1.8"
"충청남도교육청","충청남도교육청","충청남도 서산시","S120001252","서산성봉학교","05","공립","N","","0","0","0","0","0","0","2","13","6.5","2","7","3.5","2","10","5","1","4","4","1","6","6","2","9","4.5","0","0","0","10","49","4.9","2","10","5","3","16","5.3","3","11","3.7","0","0","0","8","37","4.6","2","15","7.5","3","15","5","3","15","5","0","0","0","8","45","5.6","8","68","8.5","34","199","5.9","55","2.4"
"충청남도교육청","충청남도교육청","충청남도 천안시 서북구","S120001253","나사렛새꿈학교","05","사립","N","","7","26","3.7","2","8","4","3","14","4.7","2","9","4.5","1","4","4","1","5","5","1","7","7","2","9","4.5","1","2","2","20","84","4.2","2","10","5","1","5","5","1","6","6","1","3","3","5","24","4.8","2","9","4.5","2","12","6","1","6","6","0","0","0","5","27","5.4","0","0","0","30","135","4.5","44","2.3"
"충청남도교육청","충청남도교육청","충청남도 아산시","S120002668","아산성심학교","05","공립","N","","0","0","0","0","0","0","2","11","5.5","3","16","5.3","2","12","6","2","10","5","2","7","3.5","1","4","4","0","0","0","12","60","5","4","17","4.3","2","11","5.5","2","10","5","0","0","0","8","38","4.8","3","20","6.7","3","17","5.7","2","10","5","1","0","0","9","47","5.2","6","46","7.7","35","191","5.5","56","2.6"
"충청남도교육청","충청남도교육청","충청남도 논산시","S120002913","성광온누리학교","05","공립","N","","1","3","3","0","0","0","2","7","3.5","2","10","5","1","4","4","1","3","3","1","2","2","1","3","3","0","0","0","9","32","3.6","1","4","4","2","7","3.5","1","4","4","0","0","0","4","15","3.8","2","9","4.5","1","5","5","1","3","3","0","0","0","4","17","4.3","4","32","8","21","96","4.6","34","1.8"
"전라북도교육청","전라북도교육청","전라북도 군산시","S130001760","군산명화학교","05","공립","N","","1","4","4","0","0","0","1","4","4","1","3","3","2","10","5","1","6","6","1","5","5","2","10","5","1","1","1","10","43","4.3","2","12","6","3","17","5.7","2","9","4.5","1","1","1","8","39","4.9","2","12","6","3","21","7","2","12","6","1","3","3","8","48","6","4","32","8","30","162","5.4","47","2.7"
"전라북도교육청","전라북도교육청","전라북도 전주시 완산구","S130001761","동암차돌학교","05","사립","N","","0","0","0","0","0","0","1","3","3","1","4","4","1","5","5","1","6","6","1","5","5","1","3","3","0","0","0","6","26","4.3","2","8","4","1","4","4","2","10","5","1","1","1","6","23","3.8","2","11","5.5","3","18","6","2","15","7.5","1","2","2","8","46","5.8","0","0","0","20","95","4.8","33","2.9"
"전라북도교육청","전라북도교육청","전라북도 익산시","S130001763","전북맹아학교","05","사립","N","","1","2","2","0","0","0","1","2","2","1","3","3","1","5","5","1","2","2","1","5","5","1","4","4","0","0","0","7","23","3.3","1","2","2","2","7","3.5","1","7","7","0","0","0","4","16","4","1","6","6","1","4","4","1","7","7","0","0","0","3","17","5.7","4","23","5.8","18","79","4.4","30","1.8"
